"V1","COW","SIPRI","COW2","cepii","ID"
"Abkhazia",0,"Abkhazia",0,"0",1
"Afghanistan",700,"Afghanistan",700,"AFG",2
"Albania",339,"Albania",339,"ALB",3
"Algeria",615,"Algeria",615,"DZA",4
"Andorra",232,"Andorra",232,"AND",5
"Angola",540,"Angola",540,"AGO",6
"Antigua and Barbuda",58,"Antigua and Barbuda",58,"ATG",7
"Argentina",160,"Argentina",160,"ARG",8
"Armenia",371,"Armenia",371,"ARM",9
"Aruba",0,"Aruba",0,"0",10
"Australia",900,"Australia",900,"AUS",11
"Austria",305,"Austria",305,"AUT",12
"Azerbaijan",373,"Azerbaijan",373,"AZE",13
"Bahamas",31,"Bahamas",31,"BHS",14
"Bahrain",692,"Bahrain",692,"BHR",15
"Bangladesh",771,"Bangladesh",771,"BGD",16
"Barbados",53,"Barbados",53,"BRB",17
"Belarus",370,"Belarus",370,"BLR",18
"Belgium",211,"Belgium",211,"BEL",19
"Belize",80,"Belize",80,"BLZ",20
"Benin",434,"Benin",434,"BEN",21
"Bhutan",760,"Bhutan",760,"BTN",22
"Biafra",0,"Biafra",0,"0",23
"Bolivia",145,"Bolivia",145,"BOL",24
"Bosnia and Herzegovina",346,"Bosnia and Herzegovina",346,"BIH",25
"Botswana",571,"Botswana",571,"BWA",26
"Brazil",140,"Brazil",140,"BRA",27
"Brunei Darussalam",835,"Brunei",835,"BRN",28
"Bulgaria",355,"Bulgaria",355,"BGR",29
"Burkina Faso",439,"Burkina Faso",439,"BFA",30
"Burundi",516,"Burundi",516,"BDI",31
"Cambodia",811,"Cambodia",811,"KHM",32
"Cameroon",471,"Cameroon",471,"CMR",33
"Canada",20,"Canada",20,"CAN",34
"Cape Verde",402,"Cape Verde",402,"CPV",35
"Central African Republic",482,"Central African Republic",482,"CAF",36
"Chad",483,"Chad",483,"TCD",37
"Chile",155,"Chile",155,"CHL",38
"China",710,"China",710,"CHN",39
"Colombia",100,"Colombia",100,"COL",40
"Comoros",581,"Comoros",581,"COM",41
"DR Congo",490,"DR Congo",490,"ZAR",42
"Congo",484,"Congo",484,"COG",43
"Cook Islands",0,"Cook Islands",0,"COK",44
"Costa Rica",94,"Costa Rica",94,"CRI",45
"Cote dIvoire",437,"Cote dIvoire",437,"CIV",46
"Croatia",344,"Croatia",344,"HRV",47
"Cuba",40,"Cuba",40,"CUB",48
"Cyprus",352,"Cyprus",352,"CYP",49
"Northern Cyprus",0,"Northern Cyprus",0,"CYP",50
"Czech Republic",316,"Czech Republic",316,"CZE",51
"Czechoslovakia",315,"Czechoslovakia",315,"CZE",52
"Darfur",0,"Darfur",0,"0",53
"Denmark",390,"Denmark",390,"DNK",54
"Djibouti",522,"Djibouti",522,"DJI",55
"Dominica",54,"Dominica",54,"DMA",56
"Dominican Republic",42,"Dominican Republic",42,"DOM",57
"Ecuador",130,"Ecuador",130,"ECU",58
"Egypt",651,"Egypt",651,"EGY",59
"El Salvador",92,"El Salvador",92,"SLV",60
"Equatorial Guinea",411,"Equatorial Guinea",411,"GNQ",61
"Eritrea",531,"Eritrea",531,"ERI",62
"Estonia",366,"Estonia",366,"EST",63
"Ethiopia",530,"Ethiopia",530,"ETH",64
"Fiji",950,"Fiji",950,"FJI",65
"Finland",375,"Finland",375,"FIN",66
"France",220,"France",220,"FRA",67
"Gabon",481,"Gabon",481,"GAB",68
"Gambia",420,"Gambia",420,"GMB",69
"Georgia",372,"Georgia",372,"GEO",70
"German Democratic Republic",265,"German Democratic Republic",265,"DEU",71
"Germany",255,"Germany (FRG)",260,"DEU",72
"Ghana",452,"Ghana",452,"GHA",73
"Greece",350,"Greece",350,"GRC",74
"Grenada",55,"Grenada",55,"GRD",75
"Guatemala",90,"Guatemala",90,"GTM",76
"Guinea",438,"Guinea",438,"GIN",77
"Guinea-Bissau",404,"Guinea-Bissau",404,"GNB",78
"Guyana",110,"Guyana",110,"GUY",79
"Haiti",41,"Haiti",41,"HTI",80
"Honduras",91,"Honduras",91,"HND",81
"Hungary",310,"Hungary",310,"HUN",82
"Iceland",395,"Iceland",395,"ISL",83
"India",750,"India",750,"IND",84
"Indonesia",850,"Indonesia",850,"IDN",85
"Iran",630,"Iran",630,"IRN",86
"Iraq",645,"Iraq",645,"IRQ",87
"Ireland",205,"Ireland",205,"IRL",88
